example_id                                                         | status | run_time        |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:1:7]      | passed | 0.016 seconds   |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:1:8]      | passed | 0.01742 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:1:9]      | passed | 0.01477 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:1:10]     | passed | 0.01791 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:2:1]      | passed | 0.01737 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:2:2]      | passed | 0.0209 seconds  |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:2:3]      | passed | 0.02076 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:2:4]      | passed | 0.02216 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:3:1]      | passed | 0.02768 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:3:2]      | passed | 0.0281 seconds  |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:3:3]      | passed | 0.02709 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:4:1]      | passed | 0.01595 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:4:2]      | passed | 0.01416 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:4:3]      | passed | 0.01698 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:5:1]      | passed | 0.01777 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:5:2]      | passed | 0.01785 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:1:5:3]      | passed | 0.02877 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:2:1]        | passed | 0.02469 seconds |
./spec/models/audit/audit_event_immutability_spec.rb[1:2:2]        | passed | 0.02286 seconds |
./spec/models/audit/audit_event_spec.rb[1:1:1]                     | passed | 0.01619 seconds |
./spec/models/audit/audit_event_spec.rb[1:1:2]                     | passed | 0.02015 seconds |
./spec/models/audit/audit_event_spec.rb[1:1:3]                     | passed | 0.01505 seconds |
./spec/models/audit/audit_event_spec.rb[1:1:4]                     | passed | 0.01479 seconds |
./spec/models/audit/audit_event_spec.rb[1:1:5]                     | passed | 0.01515 seconds |
./spec/models/audit/audit_event_spec.rb[1:1:6]                     | passed | 0.0154 seconds  |
./spec/models/audit/audit_event_spec.rb[1:1:7]                     | passed | 0.01389 seconds |
./spec/models/audit/audit_event_spec.rb[1:1:8]                     | passed | 0.01508 seconds |
./spec/models/audit/audit_event_spec.rb[1:1:9]                     | passed | 0.01443 seconds |
./spec/models/audit/audit_event_spec.rb[1:1:10]                    | passed | 0.01375 seconds |
./spec/models/audit/audit_event_spec.rb[1:1:11]                    | passed | 0.01399 seconds |
./spec/models/audit/audit_event_spec.rb[1:1:12]                    | passed | 0.01405 seconds |
./spec/models/audit/audit_event_spec.rb[1:1:13]                    | passed | 0.01445 seconds |
./spec/models/audit/audit_event_spec.rb[1:1:14]                    | passed | 0.01294 seconds |
./spec/models/audit/audit_event_spec.rb[1:2:1]                     | passed | 0.01527 seconds |
./spec/models/audit/audit_event_spec.rb[1:2:2]                     | passed | 0.01632 seconds |
./spec/models/audit/audit_event_spec.rb[1:2:3]                     | passed | 0.01967 seconds |
./spec/models/audit/audit_event_spec.rb[1:2:4]                     | passed | 0.02004 seconds |
./spec/models/audit/audit_event_spec.rb[1:3:1]                     | passed | 0.01437 seconds |
./spec/models/audit/audit_event_spec.rb[1:3:2]                     | passed | 0.01416 seconds |
./spec/models/audit/audit_event_spec.rb[1:3:3]                     | passed | 0.01354 seconds |
./spec/models/audit/audit_event_spec.rb[1:3:4]                     | passed | 0.01475 seconds |
./spec/models/audit/audit_event_spec.rb[1:3:5]                     | passed | 0.0147 seconds  |
./spec/models/audit/audit_event_spec.rb[1:3:6]                     | passed | 0.01487 seconds |
./spec/models/audit/audit_event_spec.rb[1:4:1:1]                   | passed | 0.01652 seconds |
./spec/models/audit/audit_event_spec.rb[1:4:2:1]                   | passed | 0.01722 seconds |
./spec/models/audit/audit_event_spec.rb[1:5:1:1]                   | passed | 0.01536 seconds |
./spec/models/audit/audit_event_spec.rb[1:5:2:1]                   | passed | 0.01506 seconds |
./spec/models/audit/audit_event_spec.rb[1:5:3:1]                   | passed | 0.01504 seconds |
./spec/models/audit/audit_event_spec.rb[1:5:4:1]                   | passed | 0.01549 seconds |
./spec/models/audit/audit_event_spec.rb[1:5:5:1]                   | passed | 0.01713 seconds |
./spec/models/audit/audit_event_spec.rb[1:6:1]                     | passed | 0.02264 seconds |
./spec/models/audit/audit_event_spec.rb[1:7:1:1]                   | passed | 0.02092 seconds |
./spec/models/audit/audit_event_spec.rb[1:7:2:1]                   | passed | 0.03391 seconds |
./spec/models/audit/audit_event_spec.rb[1:7:3:1]                   | passed | 0.03094 seconds |
./spec/models/audit/audit_event_spec.rb[1:7:4:1]                   | passed | 0.02561 seconds |
./spec/models/concerns/soft_deletable_spec.rb[1:1:1]               | passed | 0.01561 seconds |
./spec/models/concerns/soft_deletable_spec.rb[1:1:2]               | passed | 0.01596 seconds |
./spec/models/concerns/soft_deletable_spec.rb[1:2:1:1]             | passed | 0.01744 seconds |
./spec/models/concerns/soft_deletable_spec.rb[1:2:2:1]             | passed | 0.01933 seconds |
./spec/models/concerns/soft_deletable_spec.rb[1:2:3:1]             | passed | 0.01939 seconds |
./spec/models/concerns/soft_deletable_spec.rb[1:3:1]               | passed | 0.01717 seconds |
./spec/models/concerns/soft_deletable_spec.rb[1:3:2]               | passed | 0.01893 seconds |
./spec/models/concerns/soft_deletable_spec.rb[1:3:3]               | passed | 0.01827 seconds |
./spec/models/concerns/soft_deletable_spec.rb[1:3:4:1]             | passed | 0.0174 seconds  |
./spec/models/concerns/soft_deletable_spec.rb[1:3:5:1]             | passed | 0.01867 seconds |
./spec/models/concerns/soft_deletable_spec.rb[1:4:1]               | passed | 0.01855 seconds |
./spec/models/concerns/soft_deletable_spec.rb[1:4:2]               | passed | 0.01842 seconds |
./spec/models/concerns/soft_deletable_spec.rb[1:4:3]               | passed | 0.01747 seconds |
./spec/models/concerns/soft_deletable_spec.rb[1:4:4]               | passed | 0.0205 seconds  |
./spec/models/concerns/soft_deletable_spec.rb[1:5:1]               | passed | 0.0194 seconds  |
./spec/models/concerns/soft_deletable_spec.rb[1:5:2]               | passed | 0.01707 seconds |
./spec/models/concerns/uuid_identifiable_spec.rb[1:1:1]            | passed | 0.0221 seconds  |
./spec/models/concerns/uuid_identifiable_spec.rb[1:2:1]            | passed | 0.02089 seconds |
./spec/models/concerns/uuid_identifiable_spec.rb[1:2:2]            | passed | 0.02107 seconds |
./spec/models/concerns/uuid_identifiable_spec.rb[1:3:1]            | passed | 0.02135 seconds |
./spec/models/concerns/uuid_identifiable_spec.rb[1:4:1]            | passed | 0.01974 seconds |
./spec/models/concerns/uuid_identifiable_spec.rb[1:4:2]            | passed | 0.01851 seconds |
./spec/models/concerns/uuid_identifiable_spec.rb[1:5:1]            | passed | 0.0193 seconds  |
./spec/models/concerns/uuid_identifiable_spec.rb[1:5:2]            | passed | 0.01941 seconds |
